rank,country,happiness2021,happiness2020,pop2021
1,Finland,7.842,7.809,5548.36
2,Denmark,7.62,7.646,5813.298
3,Switzerland,7.571,7.56,8715.494
4,Iceland,7.554,7.504,343.353
5,Netherlands,7.464,7.449,17173.099
6,Norway,7.392,7.488,5465.63
7,Sweden,7.363,7.353,10160.169
8,Luxembourg,7.324,7.238,634.814
9,New Zealand,7.277,7.3,4860.643
10,Austria,7.268,7.294,9043.07
11,Australia,7.183,7.223,25788.215
12,Israel,7.157,7.129,8789.774
13,Germany,7.155,7.076,83900.473
14,Canada,7.103,7.232,38067.903
15,Ireland,7.085,7.129,4982.907
16,Costa Rica,7.069,7.121,5139.052
17,United Kingdom,7.064,7.165,68207.116
18,Czech Republic,6.965,6.911,10724.555
19,United States,6.951,6.94,332915.073
20,Belgium,6.834,6.864,11632.326
21,France,6.69,6.664,65426.179
22,Bahrain,6.647,6.227,1748.296
23,Malta,6.602,6.773,442.784
24,Taiwan,6.584,6.455,23855.01
25,United Arab Emirates,6.561,6.791,9991.089
26,Saudi Arabia,6.494,6.406,35340.683
27,Spain,6.491,6.401,46745.216
28,Italy,6.483,6.387,60367.477
29,Slovenia,6.461,6.363,2078.724
30,Guatemala,6.435,6.399,18249.86
