V4_1,Data Marking,calendar-years,Time,nuts,Geography,sic-unofficial,UnofficialStandardIndustrialClassification,type-of-prices,Prices,quarterly-index-and-growth-rate,GrowthRate
102.5541811,,2017,2017,UKK,South West,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
89.81325498,,2012,2012,UKG,West Midlands,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
95.91239221,,2014,2014,UKD,North West,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
94.00773883,,2013,2013,UKD,North West,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
102.6750623,,2017,2017,UKG,West Midlands,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
98.3669435,,2014,2014,UKC,North East,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
102.4661036,,2017,2017,UKD,North West,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
100,,2016,2016,UKC,North East,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
102.3530609,,2017,2017,UKE,Yorkshire and The Humber,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
98.23048249,,2015,2015,UKF,East Midlands,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
104.1306106,,2017,2017,UKH,East of England,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
94.4390514,,2014,2014,UKI,London,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
92.54586873,,2012,2012,UKJ,South East,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
100,,2016,2016,UKK,South West,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
101.6335297,,2017,2017,UKI,London,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
98.50625666,,2015,2015,UKK,South West,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
101.6932632,,2018,2018,UKJ,South East,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
105.811028,,2019,2019,UKH,East of England,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
104.8510572,,2018,2018,UKG,West Midlands,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
100.548881,,2017,2017,UKC,North East,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
103.3381107,,2019,2019,UKJ,South East,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
100.3696935,,2015,2015,UKC,North East,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
89.62684293,,2012,2012,UKH,East of England,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
98.31399112,,2015,2015,UKD,North West,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
100,,2016,2016,UKI,London,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
95.7898213,,2013,2013,UKE,Yorkshire and The Humber,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
103.4505662,,2018,2018,UKK,South West,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
104.1109838,,2019,2019,UKK,South West,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
99.59143584,,2015,2015,UKE,Yorkshire and The Humber,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
104.3749903,,2019,2019,UKE,Yorkshire and The Humber,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
96.43564781,,2014,2014,UKJ,South East,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
94.62133579,,2013,2013,UKF,East Midlands,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
101.6479249,,2017,2017,UKF,East Midlands,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
100,,2016,2016,UKH,East of England,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
92.54437642,,2012,2012,UKK,South West,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
92.31579328,,2012,2012,UKD,North West,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
94.19086342,,2013,2013,UKK,South West,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
103.0383345,,2019,2019,UKF,East Midlands,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
99.63128569,,2015,2015,UKJ,South East,A--T,A-T : Total,cvm,Chained Volume Measure,aix,Annual index
