V4_3,Data Marking,Lower limit,Upper limit,yyyy-yy,Time,administrative-geography,Geography,measure-of-wellbeing,MeasureOfWellbeing,wellbeing-estimate,Estimate
7.43,,7.37,7.48,2013-14,2014,E12000006,East of England,happiness,Happiness,average-mean,Average (mean)
7.52,,7.46,7.58,2019-20,2020,E12000006,East of England,happiness,Happiness,average-mean,Average (mean)
7.58,,7.52,7.63,2017-18,2018,E12000006,East of England,happiness,Happiness,average-mean,Average (mean)
7.37,,7.31,7.44,2020-21,2021,E12000006,East of England,happiness,Happiness,average-mean,Average (mean)
7.37,,7.32,7.43,2011-12,2012,E12000006,East of England,happiness,Happiness,average-mean,Average (mean)
7.62,,7.56,7.67,2018-19,2019,E12000006,East of England,happiness,Happiness,average-mean,Average (mean)
7.35,,7.29,7.4,2012-13,2013,E12000006,East of England,happiness,Happiness,average-mean,Average (mean)
7.53,,7.48,7.59,2015-16,2016,E12000006,East of England,happiness,Happiness,average-mean,Average (mean)
7.52,,7.47,7.58,2014-15,2015,E12000006,East of England,happiness,Happiness,average-mean,Average (mean)
7.58,,7.53,7.64,2016-17,2017,E12000006,East of England,happiness,Happiness,average-mean,Average (mean)
7.36,,7.31,7.42,2015-16,2016,E12000001,North East,happiness,Happiness,average-mean,Average (mean)
7.43,,7.37,7.48,2016-17,2017,E12000001,North East,happiness,Happiness,average-mean,Average (mean)
7.19,,7.14,7.25,2011-12,2012,E12000001,North East,happiness,Happiness,average-mean,Average (mean)
7.19,,7.14,7.25,2012-13,2013,E12000001,North East,happiness,Happiness,average-mean,Average (mean)
7.36,,7.31,7.41,2014-15,2015,E12000001,North East,happiness,Happiness,average-mean,Average (mean)
7.33,,7.27,7.39,2019-20,2020,E12000001,North East,happiness,Happiness,average-mean,Average (mean)
7.31,,7.25,7.36,2013-14,2014,E12000001,North East,happiness,Happiness,average-mean,Average (mean)
7.48,,7.43,7.54,2017-18,2018,E12000001,North East,happiness,Happiness,average-mean,Average (mean)
7.5,,7.44,7.56,2018-19,2019,E12000001,North East,happiness,Happiness,average-mean,Average (mean)
7.27,,7.2,7.34,2020-21,2021,E12000001,North East,happiness,Happiness,average-mean,Average (mean)
7.41,,7.35,7.46,2013-14,2014,E12000005,West Midlands,happiness,Happiness,average-mean,Average (mean)
7.54,,7.48,7.59,2018-19,2019,E12000005,West Midlands,happiness,Happiness,average-mean,Average (mean)
7.46,,7.42,7.51,2015-16,2016,E12000005,West Midlands,happiness,Happiness,average-mean,Average (mean)
7.43,,7.38,7.48,2014-15,2015,E12000005,West Midlands,happiness,Happiness,average-mean,Average (mean)
7.28,,7.21,7.35,2020-21,2021,E12000005,West Midlands,happiness,Happiness,average-mean,Average (mean)
7.26,,7.2,7.31,2012-13,2013,E12000005,West Midlands,happiness,Happiness,average-mean,Average (mean)
7.2,,7.15,7.25,2011-12,2012,E12000005,West Midlands,happiness,Happiness,average-mean,Average (mean)
7.5,,7.45,7.55,2016-17,2017,E12000005,West Midlands,happiness,Happiness,average-mean,Average (mean)
7.52,,7.47,7.57,2017-18,2018,E12000005,West Midlands,happiness,Happiness,average-mean,Average (mean)
7.5,,7.44,7.55,2019-20,2020,E12000005,West Midlands,happiness,Happiness,average-mean,Average (mean)
7.54,,7.5,7.58,2014-15,2015,E12000008,South East,happiness,Happiness,average-mean,Average (mean)
7.58,,7.53,7.62,2017-18,2018,E12000008,South East,happiness,Happiness,average-mean,Average (mean)
7.36,,7.31,7.4,2011-12,2012,E12000008,South East,happiness,Happiness,average-mean,Average (mean)
7.35,,7.3,7.4,2020-21,2021,E12000008,South East,happiness,Happiness,average-mean,Average (mean)
7.54,,7.5,7.58,2015-16,2016,E12000008,South East,happiness,Happiness,average-mean,Average (mean)
7.46,,7.42,7.5,2013-14,2014,E12000008,South East,happiness,Happiness,average-mean,Average (mean)
7.64,,7.59,7.68,2018-19,2019,E12000008,South East,happiness,Happiness,average-mean,Average (mean)
7.52,,7.48,7.57,2019-20,2020,E12000008,South East,happiness,Happiness,average-mean,Average (mean)
7.58,,7.54,7.63,2016-17,2017,E12000008,South East,happiness,Happiness,average-mean,Average (mean)
7.35,,7.3,7.39,2012-13,2013,E12000008,South East,happiness,Happiness,average-mean,Average (mean)
7.41,,7.35,7.46,2020-21,2021,E12000009,South West,happiness,Happiness,average-mean,Average (mean)
7.62,,7.58,7.66,2018-19,2019,E12000009,South West,happiness,Happiness,average-mean,Average (mean)
7.43,,7.38,7.48,2013-14,2014,E12000009,South West,happiness,Happiness,average-mean,Average (mean)
7.55,,7.5,7.59,2017-18,2018,E12000009,South West,happiness,Happiness,average-mean,Average (mean)
7.39,,7.34,7.44,2011-12,2012,E12000009,South West,happiness,Happiness,average-mean,Average (mean)
7.5,,7.46,7.55,2014-15,2015,E12000009,South West,happiness,Happiness,average-mean,Average (mean)
7.52,,7.47,7.57,2016-17,2017,E12000009,South West,happiness,Happiness,average-mean,Average (mean)
7.36,,7.31,7.41,2012-13,2013,E12000009,South West,happiness,Happiness,average-mean,Average (mean)
7.54,,7.49,7.58,2015-16,2016,E12000009,South West,happiness,Happiness,average-mean,Average (mean)
