V4_3,Data Marking,Lower limit,Upper limit,yyyy-yy,Time,administrative-geography,Geography,measure-of-wellbeing,MeasureOfWellbeing,wellbeing-estimate,Estimate,,V4_1
7.43,,7.37,7.48,2013-14,2014,E12000006,East of England,happiness,Happiness,average-mean,Average (mean),2014East of England,95.26325257
7.52,,7.46,7.58,2019-20,2020,E12000006,East of England,happiness,Happiness,average-mean,Average (mean),2020East of England,#N/A
7.58,,7.52,7.63,2017-18,2018,E12000006,East of England,happiness,Happiness,average-mean,Average (mean),2018East of England,106.139413
7.37,,7.31,7.44,2020-21,2021,E12000006,East of England,happiness,Happiness,average-mean,Average (mean),2021East of England,#N/A
7.37,,7.32,7.43,2011-12,2012,E12000006,East of England,happiness,Happiness,average-mean,Average (mean),2012East of England,#N/A
7.62,,7.56,7.67,2018-19,2019,E12000006,East of England,happiness,Happiness,average-mean,Average (mean),2019East of England,105.811028
7.35,,7.29,7.4,2012-13,2013,E12000006,East of England,happiness,Happiness,average-mean,Average (mean),2013East of England,91.74636437
7.53,,7.48,7.59,2015-16,2016,E12000006,East of England,happiness,Happiness,average-mean,Average (mean),2016East of England,100
7.52,,7.47,7.58,2014-15,2015,E12000006,East of England,happiness,Happiness,average-mean,Average (mean),2015East of England,97.27127947
7.58,,7.53,7.64,2016-17,2017,E12000006,East of England,happiness,Happiness,average-mean,Average (mean),2017East of England,104.1306106
7.36,,7.31,7.42,2015-16,2016,E12000001,North East,happiness,Happiness,average-mean,Average (mean),2016North East,100
7.43,,7.37,7.48,2016-17,2017,E12000001,North East,happiness,Happiness,average-mean,Average (mean),2017North East,100.548881
7.19,,7.14,7.25,2011-12,2012,E12000001,North East,happiness,Happiness,average-mean,Average (mean),2012North East,97.91617948
7.19,,7.14,7.25,2012-13,2013,E12000001,North East,happiness,Happiness,average-mean,Average (mean),2013North East,97.43918546
7.36,,7.31,7.41,2014-15,2015,E12000001,North East,happiness,Happiness,average-mean,Average (mean),2015North East,100.3696935
7.33,,7.27,7.39,2019-20,2020,E12000001,North East,happiness,Happiness,average-mean,Average (mean),2020North East,#N/A
7.31,,7.25,7.36,2013-14,2014,E12000001,North East,happiness,Happiness,average-mean,Average (mean),2014North East,98.3669435
7.48,,7.43,7.54,2017-18,2018,E12000001,North East,happiness,Happiness,average-mean,Average (mean),2018North East,100.5897219
7.5,,7.44,7.56,2018-19,2019,E12000001,North East,happiness,Happiness,average-mean,Average (mean),2019North East,101.4294979
7.27,,7.2,7.34,2020-21,2021,E12000001,North East,happiness,Happiness,average-mean,Average (mean),2021North East,#N/A
7.41,,7.35,7.46,2013-14,2014,E12000005,West Midlands,happiness,Happiness,average-mean,Average (mean),2014West Midlands,94.47868117
7.54,,7.48,7.59,2018-19,2019,E12000005,West Midlands,happiness,Happiness,average-mean,Average (mean),2019West Midlands,104.0008923
7.46,,7.42,7.51,2015-16,2016,E12000005,West Midlands,happiness,Happiness,average-mean,Average (mean),2016West Midlands,100
