rank,country,happiness2021,happiness2020,pop2021
1,Finland,7.842,7.809,5548.36
2,Denmark,7.62,7.646,5813.298
3,Switzerland,7.571,7.56,8715.494
4,Iceland,7.554,7.504,343.353
5,Netherlands,7.464,7.449,17173.099
6,Norway,7.392,7.488,5465.63
7,Sweden,7.363,7.353,10160.169
8,Luxembourg,7.324,7.238,634.814
9,New Zealand,7.277,7.3,4860.643
10,Austria,7.268,7.294,9043.07
11,Australia,7.183,7.223,25788.215
12,Israel,7.157,7.129,8789.774
13,Germany,7.155,7.076,83900.473
14,Canada,7.103,7.232,38067.903
15,Ireland,7.085,7.129,4982.907
16,Costa Rica,7.069,7.121,5139.052
17,United Kingdom,7.064,7.165,68207.116
18,Czech Republic,6.965,6.911,10724.555
19,United States,6.951,6.94,332915.073
20,Belgium,6.834,6.864,11632.326
21,France,6.69,6.664,65426.179
22,Bahrain,6.647,6.227,1748.296
23,Malta,6.602,6.773,442.784
24,Taiwan,6.584,6.455,23855.01
25,United Arab Emirates,6.561,6.791,9991.089
26,Saudi Arabia,6.494,6.406,35340.683
27,Spain,6.491,6.401,46745.216
28,Italy,6.483,6.387,60367.477
29,Slovenia,6.461,6.363,2078.724
30,Guatemala,6.435,6.399,18249.86
31,Uruguay,6.431,6.44,3485.151
32,Singapore,6.377,6.377,5896.686
33,Slovakia,6.331,6.281,5460.721
34,Brazil,6.33,6.376,213993.437
35,Mexico,6.317,6.465,130262.216
36,Jamaica,6.309,5.89,2973.463
37,Lithuania,6.255,6.215,2689.862
38,Cyprus,6.223,6.159,1215.584
39,Estonia,6.189,6.022,1325.185
40,Panama,6.18,6.305,4381.579
41,Uzbekistan,6.179,6.258,33935.763
42,Chile,6.172,6.228,19212.361
43,Poland,6.166,6.186,37797.005
44,Kazakhstan,6.152,6.058,18994.962
45,Romania,6.14,6.124,19127.774
46,Kuwait,6.106,6.102,4328.55
47,Serbia,6.078,5.778,8697.55
48,El Salvador,6.061,6.348,6518.499
49,Mauritius,6.049,6.101,1273.433
50,Latvia,6.032,5.95,1866.942
51,Colombia,6.012,6.163,51265.844
52,Hungary,5.992,6,9634.164
53,Thailand,5.985,5.999,69950.85
54,Nicaragua,5.972,6.137,6702.385
55,Japan,5.94,5.871,126050.804
57,Portugal,5.929,5.911,10167.925
56,Argentina,5.929,5.975,45605.826
58,Honduras,5.919,5.953,10062.991
59,Croatia,5.882,5.505,4081.651
60,Philippines,5.88,6.006,111046.913
61,South Korea,5.845,5.872,51305.186
62,Peru,5.84,5.797,33359.418
63,Bosnia and Herzegovina,5.813,5.674,3263.466
64,Moldova,5.766,5.608,4024.019
65,Ecuador,5.764,5.925,17888.475
66,Kyrgyzstan,5.744,5.542,6628.356
67,Greece,5.723,5.515,10370.744
68,Bolivia,5.716,5.747,11832.94
69,Mongolia,5.677,5.456,3329.289
70,Paraguay,5.653,5.692,7219.638
71,Montenegro,5.581,5.546,628.053
72,Dominican Republic,5.545,5.689,10953.703
73,Belarus,5.534,5.54,9442.862
75,Hong Kong,5.477,5.51,7552.81
74,Russia,5.477,5.546,145912.025
76,Tajikistan,5.466,5.556,9749.627
77,Vietnam,5.411,5.353,98168.833
78,Libya,5.41,5.489,6958.532
79,Malaysia,5.384,5.384,32776.194
80,Indonesia,5.345,5.286,276361.783
81,Republic of the Congo,5.342,5.194,5657.013
82,China,5.339,5.124,1444216.107
83,Ivory Coast,5.306,5.233,27053.629
84,Armenia,5.283,4.677,2968.127
85,Nepal,5.269,5.137,29674.92
86,Bulgaria,5.266,5.102,6896.663
87,Maldives,5.198,5.198,543.617
88,Azerbaijan,5.171,5.165,10223.342
89,Cameroon,5.142,5.085,27224.265
90,Senegal,5.132,4.981,17196.301
91,Albania,5.117,4.883,2872.933
92,North Macedonia,5.101,5.16,2082.658
93,Ghana,5.088,5.148,31732.129
94,Niger,5.074,4.91,25130.817
95,Turkmenistan,5.066,5.119,6117.924
96,Gambia,5.051,4.751,2486.945
97,Benin,5.045,5.216,12451.04
98,Laos,5.03,4.889,7379.358
99,Bangladesh,5.025,4.833,166303.498
100,Guinea,4.984,4.949,13497.244
101,South Africa,4.956,4.814,60041.994
102,Turkey,4.948,5.132,85042.738
103,Pakistan,4.934,5.693,225199.937
104,Morocco,4.918,5.095,37344.795
105,Venezuela,4.892,5.053,28704.954
106,Georgia,4.891,4.673,3979.765
107,Algeria,4.887,5.005,44616.624
108,Ukraine,4.875,4.561,43466.819
109,Iraq,4.854,4.785,41179.35
110,Gabon,4.852,4.829,2278.825
111,Burkina Faso,4.834,4.769,21497.096
112,Cambodia,4.83,4.848,16946.438
113,Mozambique,4.794,4.624,32163.047
114,Nigeria,4.759,4.724,211400.708
115,Mali,4.723,4.729,20855.735
116,Iran,4.721,4.672,85028.759
117,Uganda,4.636,4.432,47123.531
118,Liberia,4.625,4.558,5180.203
119,Kenya,4.607,4.583,54985.698
120,Tunisia,4.596,4.392,11935.766
121,Lebanon,4.584,4.772,6769.146
122,Namibia,4.574,4.571,2587.344
123,Myanmar,4.426,4.308,54806.012
124,Jordan,4.395,4.633,10269.021
125,Chad,4.355,4.423,16914.985
126,Sri Lanka,4.325,4.327,21497.31
127,Eswatini,4.308,4.308,1172.362
128,Comoros,4.289,4.289,888.451
129,Egypt,4.283,4.151,104258.327
130,Ethiopia,4.275,4.186,117876.227
131,Mauritania,4.227,4.375,4775.119
132,Madagascar,4.208,4.166,28427.328
133,Togo,4.107,4.187,8478.25
134,Zambia,4.073,3.759,18920.651
135,Sierra Leone,3.849,3.926,8141.343
136,India,3.819,3.573,1393409.038
137,Burundi,3.775,3.775,12255.433
138,Yemen,3.658,3.527,30490.64
139,Tanzania,3.623,3.476,61498.437
140,Haiti,3.615,3.721,11541.685
141,Malawi,3.6,3.538,19647.684
142,Lesotho,3.512,3.653,2159.079
143,Botswana,3.467,3.479,2397.241
144,Rwanda,3.415,3.312,13276.513
145,Zimbabwe,3.145,3.299,15092.171
146,Afghanistan,2.523,2.567,39835.428
