v4_1,Data Marking,mmm-yy,Time,administrative-geography,Geography,index-and-year-change,IndexAndYearChange
95.9,,Mar-09,01 March 2009,E12000002,North West,index,Index
95.7,,Mar-09,01 March 2009,E12000003,Yorkshire and The Humber,index,Index
92.1,,Mar-09,01 March 2009,E12000008,South East,index,Index
85.7,,Mar-09,01 March 2009,E12000007,London,index,Index
96,,Mar-09,01 March 2009,E12000005,West Midlands,index,Index
95.2,,Mar-09,01 March 2009,E12000006,East of England,index,Index
96.5,,Mar-09,01 March 2009,E12000001,North East,index,Index
93.8,,Mar-09,01 March 2009,E12000009,South West,index,Index
95.8,,Mar-09,01 March 2009,E12000004,East Midlands,index,Index
100.2,,Apr-15,01 April 2015,E12000001,North East,index,Index
100.5,,Apr-15,01 April 2015,E12000004,East Midlands,index,Index
100.1,,Apr-15,01 April 2015,E12000003,Yorkshire and The Humber,index,Index
100.1,,Apr-15,01 April 2015,E12000002,North West,index,Index
100.9,,Apr-15,01 April 2015,E12000007,London,index,Index
100.4,,Apr-15,01 April 2015,E12000005,West Midlands,index,Index
100.6,,Apr-15,01 April 2015,E12000008,South East,index,Index
100.4,,Apr-15,01 April 2015,E12000009,South West,index,Index
100.6,,Apr-15,01 April 2015,E12000006,East of England,index,Index
93.8,,Jan-08,01 January 2008,E12000003,Yorkshire and The Humber,index,Index
94.3,,Jan-08,01 January 2008,E12000002,North West,index,Index
82.2,,Jan-08,01 January 2008,E12000007,London,index,Index
89.2,,Jan-08,01 January 2008,E12000008,South East,index,Index
94.1,,Jan-08,01 January 2008,E12000005,West Midlands,index,Index
93,,Jan-08,01 January 2008,E12000006,East of England,index,Index
91.5,,Jan-08,01 January 2008,E12000009,South West,index,Index
94.2,,Jan-08,01 January 2008,E12000001,North East,index,Index
94.5,,Jan-08,01 January 2008,E12000004,East Midlands,index,Index
106.5,,Aug-17,01 August 2017,E12000007,London,index,Index
105.1,,Aug-17,01 August 2017,E12000009,South West,index,Index
103.7,,Aug-17,01 August 2017,E12000003,Yorkshire and The Humber,index,Index
106.5,,Aug-17,01 August 2017,E12000004,East Midlands,index,Index
105,,Aug-17,01 August 2017,E12000005,West Midlands,index,Index
107.4,,Aug-17,01 August 2017,E12000008,South East,index,Index
101.7,,Aug-17,01 August 2017,E12000001,North East,index,Index
102.9,,Aug-17,01 August 2017,E12000002,North West,index,Index
106.9,,Aug-17,01 August 2017,E12000006,East of England,index,Index
90.5,,May-10,01 May 2010,E12000008,South East,index,Index
92.8,,May-10,01 May 2010,E12000009,South West,index,Index
93.2,,May-10,01 May 2010,E12000006,East of England,index,Index
84.5,,May-10,01 May 2010,E12000007,London,index,Index
94.6,,May-10,01 May 2010,E12000005,West Midlands,index,Index
95.9,,May-10,01 May 2010,E12000003,Yorkshire and The Humber,index,Index
94.6,,May-10,01 May 2010,E12000004,East Midlands,index,Index
96.9,,May-10,01 May 2010,E12000001,North East,index,Index
96.3,,May-10,01 May 2010,E12000002,North West,index,Index
94.6,,Apr-10,01 April 2010,E12000005,West Midlands,index,Index
93.3,,Apr-10,01 April 2010,E12000006,East of England,index,Index
90.4,,Apr-10,01 April 2010,E12000008,South East,index,Index
96,,Apr-10,01 April 2010,E12000003,Yorkshire and The Humber,index,Index
94.7,,Apr-10,01 April 2010,E12000004,East Midlands,index,Index
96.2,,Apr-10,01 April 2010,E12000002,North West,index,Index
84.4,,Apr-10,01 April 2010,E12000007,London,index,Index
92.8,,Apr-10,01 April 2010,E12000009,South West,index,Index
96.9,,Apr-10,01 April 2010,E12000001,North East,index,Index
97,,Jul-13,01 July 2013,E12000008,South East,index,Index
99.2,,Jul-13,01 July 2013,E12000002,North West,index,Index
99.6,,Jul-13,01 July 2013,E12000001,North East,index,Index
96.3,,Jul-13,01 July 2013,E12000007,London,index,Index
98,,Jul-13,01 July 2013,E12000005,West Midlands,index,Index
97.6,,Jul-13,01 July 2013,E12000006,East of England,index,Index
97.7,,Jul-13,01 July 2013,E12000009,South West,index,Index
98,,Jul-13,01 July 2013,E12000004,East Midlands,index,Index
99.1,,Jul-13,01 July 2013,E12000003,Yorkshire and The Humber,index,Index
101.8,,Jan-18,01 January 2018,E12000001,North East,index,Index
105.8,,Jan-18,01 January 2018,E12000005,West Midlands,index,Index
106.4,,Jan-18,01 January 2018,E12000009,South West,index,Index
103.5,,Jan-18,01 January 2018,E12000002,North West,index,Index
108.2,,Jan-18,01 January 2018,E12000008,South East,index,Index
106.3,,Jan-18,01 January 2018,E12000007,London,index,Index
104.1,,Jan-18,01 January 2018,E12000003,Yorkshire and The Humber,index,Index
107.8,,Jan-18,01 January 2018,E12000004,East Midlands,index,Index
108.1,,Jan-18,01 January 2018,E12000006,East of England,index,Index
110.7,,Jul-19,01 July 2019,E12000008,South East,index,Index
109.2,,Jul-19,01 July 2019,E12000009,South West,index,Index
107.2,,Jul-19,01 July 2019,E12000007,London,index,Index
106.7,,Jul-19,01 July 2019,E12000003,Yorkshire and The Humber,index,Index
102.5,,Jul-19,01 July 2019,E12000001,North East,index,Index
108.1,,Jul-19,01 July 2019,E12000005,West Midlands,index,Index
105.4,,Jul-19,01 July 2019,E12000002,North West,index,Index
111.4,,Jul-19,01 July 2019,E12000004,East Midlands,index,Index
110.2,,Jul-19,01 July 2019,E12000006,East of England,index,Index
106.5,,Feb-19,01 February 2019,E12000007,London,index,Index
109.6,,Feb-19,01 February 2019,E12000006,East of England,index,Index
104.8,,Feb-19,01 February 2019,E12000002,North West,index,Index
110.6,,Feb-19,01 February 2019,E12000004,East Midlands,index,Index
107.8,,Feb-19,01 February 2019,E12000005,West Midlands,index,Index
108.4,,Feb-19,01 February 2019,E12000009,South West,index,Index
106.2,,Feb-19,01 February 2019,E12000003,Yorkshire and The Humber,index,Index
102.1,,Feb-19,01 February 2019,E12000001,North East,index,Index
110.1,,Feb-19,01 February 2019,E12000008,South East,index,Index
98.5,,Aug-14,01 August 2014,E12000007,London,index,Index
99.7,,Aug-14,01 August 2014,E12000003,Yorkshire and The Humber,index,Index
98.8,,Aug-14,01 August 2014,E12000006,East of England,index,Index
99.3,,Aug-14,01 August 2014,E12000004,East Midlands,index,Index
99.2,,Aug-14,01 August 2014,E12000005,West Midlands,index,Index
99.6,,Aug-14,01 August 2014,E12000002,North West,index,Index
98.7,,Aug-14,01 August 2014,E12000008,South East,index,Index
99.2,,Aug-14,01 August 2014,E12000009,South West,index,Index
99.9,,Aug-14,01 August 2014,E12000001,North East,index,Index
87.6,,Aug-05,01 August 2005,E12000001,North East,index,Index
84.8,,Aug-05,01 August 2005,E12000009,South West,index,Index
86.4,,Aug-05,01 August 2005,E12000003,Yorkshire and The Humber,index,Index
83.8,,Aug-05,01 August 2005,E12000008,South East,index,Index
87.2,,Aug-05,01 August 2005,E12000006,East of England,index,Index
89.2,,Aug-05,01 August 2005,E12000002,North West,index,Index
88.9,,Aug-05,01 August 2005,E12000005,West Midlands,index,Index
89.7,,Aug-05,01 August 2005,E12000004,East Midlands,index,Index
76,,Aug-05,01 August 2005,E12000007,London,index,Index
98.7,,Sep-14,01 September 2014,E12000007,London,index,Index
99.7,,Sep-14,01 September 2014,E12000002,North West,index,Index
99.9,,Sep-14,01 September 2014,E12000001,North East,index,Index
98.9,,Sep-14,01 September 2014,E12000008,South East,index,Index
99.2,,Sep-14,01 September 2014,E12000009,South West,index,Index
99.3,,Sep-14,01 September 2014,E12000005,West Midlands,index,Index
99.3,,Sep-14,01 September 2014,E12000004,East Midlands,index,Index
99.8,,Sep-14,01 September 2014,E12000003,Yorkshire and The Humber,index,Index
98.9,,Sep-14,01 September 2014,E12000006,East of England,index,Index
108.2,,Jan-19,01 January 2019,E12000009,South West,index,Index
106.4,,Jan-19,01 January 2019,E12000007,London,index,Index
107.6,,Jan-19,01 January 2019,E12000005,West Midlands,index,Index
102.2,,Jan-19,01 January 2019,E12000001,North East,index,Index
110.5,,Jan-19,01 January 2019,E12000004,East Midlands,index,Index
109.5,,Jan-19,01 January 2019,E12000006,East of England,index,Index
109.9,,Jan-19,01 January 2019,E12000008,South East,index,Index
104.6,,Jan-19,01 January 2019,E12000002,North West,index,Index
106,,Jan-19,01 January 2019,E12000003,Yorkshire and The Humber,index,Index
