V4_3,Data Marking,Lower limit,Upper limit,yyyy-yy,Time,administrative-geography,Geography,measure-of-wellbeing,MeasureOfWellbeing,wellbeing-estimate,Estimate
7.25,,7.22,7.29,2012-13,2013,E12000007,London,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.36,,7.33,7.4,2013-14,2014,E12000007,London,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.5,,7.47,7.54,2015-16,2016,E12000007,London,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.52,,7.48,7.55,2017-18,2018,E12000007,London,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.54,,7.5,7.58,2016-17,2017,E12000007,London,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.27,,7.22,7.32,2020-21,2021,E12000007,London,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.54,,7.5,7.58,2019-20,2020,E12000007,London,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.58,,7.54,7.62,2018-19,2019,E12000007,London,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.25,,7.21,7.29,2011-12,2012,E12000007,London,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.49,,7.45,7.52,2014-15,2015,E12000007,London,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.73,,7.69,7.76,2014-15,2015,E12000008,South East,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.51,,7.48,7.55,2011-12,2012,E12000008,South East,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.54,,7.51,7.57,2012-13,2013,E12000008,South East,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.79,,7.76,7.83,2018-19,2019,E12000008,South East,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.4,,7.36,7.45,2020-21,2021,E12000008,South East,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.76,,7.72,7.79,2016-17,2017,E12000008,South East,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.76,,7.72,7.8,2017-18,2018,E12000008,South East,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.6,,7.57,7.63,2013-14,2014,E12000008,South East,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.74,,7.71,7.77,2015-16,2016,E12000008,South East,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.7,,7.66,7.74,2019-20,2020,E12000008,South East,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.69,,7.66,7.73,2018-19,2019,E12000002,North West,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.37,,7.34,7.41,2011-12,2012,E12000002,North West,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.56,,7.53,7.6,2014-15,2015,E12000002,North West,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.55,,7.51,7.58,2015-16,2016,E12000002,North West,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.59,,7.56,7.63,2016-17,2017,E12000002,North West,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.36,,7.31,7.41,2020-21,2021,E12000002,North West,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.41,,7.37,7.44,2012-13,2013,E12000002,North West,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.68,,7.65,7.72,2017-18,2018,E12000002,North West,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.64,,7.61,7.68,2019-20,2020,E12000002,North West,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.42,,7.38,7.45,2013-14,2014,E12000002,North West,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.39,,7.34,7.44,2012-13,2013,E12000001,North East,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.47,,7.42,7.52,2013-14,2014,E12000001,North East,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.57,,7.52,7.61,2014-15,2015,E12000001,North East,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.44,,7.39,7.48,2011-12,2012,E12000001,North East,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.61,,7.57,7.66,2016-17,2017,E12000001,North East,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.66,,7.61,7.71,2017-18,2018,E12000001,North East,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.55,,7.5,7.6,2019-20,2020,E12000001,North East,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.67,,7.62,7.72,2018-19,2019,E12000001,North East,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.36,,7.3,7.42,2020-21,2021,E12000001,North East,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.62,,7.57,7.66,2015-16,2016,E12000001,North East,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.46,,7.42,7.5,2011-12,2012,E12000006,East of England,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
