,rank,player,club,nationality,stat,dropbar
0,1,Ryan Giggs,-,Wales,162,
1,2,Cesc Fàbregas,-,Spain,111,
2,3,Wayne Rooney,-,England,103,
3,4,Frank Lampard,-,England,102,
4,5,Dennis Bergkamp,-,Netherlands,94,
5,6,David Silva,-,Spain,93,
6,7,Steven Gerrard,-,England,92,
7,8,James Milner,Liverpool,England,86,
8,9,David Beckham,-,England,80,
9,10,Kevin De Bruyne,Manchester City,Belgium,78,
10,11,Teddy Sheringham,-,England,76,
11,12,Thierry Henry,-,France,74,
12,13,Andrew Cole,-,England,73,
13,14,Ashley Young,Aston Villa,England,69,
14,15,Darren Anderton,-,England,68,
15,16,Gareth Barry,-,England,64,
16,16,Alan Shearer,-,England,64,
17,18,Matthew Le Tissier,-,England,63,
18,19,Christian Eriksen,-,Denmark,62,
19,19,Nolberto Solano,-,Peru,62,
