,rank,player,club,nationality,stat,dropbar
0,1,Alan Shearer,-,England,260,
1,2,Wayne Rooney,-,England,208,
2,3,Andrew Cole,-,England,187,
3,4,Sergio Agüero,-,Argentina,184,
4,5,Frank Lampard,-,England,177,
5,6,Thierry Henry,-,France,175,
6,7,Harry Kane,Tottenham Hotspur,England,167,
7,8,Robbie Fowler,-,England,163,
8,9,Jermain Defoe,-,England,162,
9,10,Michael Owen,-,England,150,
10,11,Les Ferdinand,-,England,149,
11,12,Teddy Sheringham,-,England,146,
12,13,Robin van Persie,-,Netherlands,144,
13,14,Jimmy Floyd Hasselbaink,-,Netherlands,127,
14,15,Robbie Keane,-,Ireland,126,
15,16,Nicolas Anelka,-,France,125,
16,16,Jamie Vardy,Leicester City,England,125,
17,18,Dwight Yorke,-,Trinidad & Tobago,123,
18,19,Steven Gerrard,-,England,120,
19,20,Romelu Lukaku,Chelsea,Belgium,116,
