V4_3,Data Marking,Lower limit,Upper limit,yyyy-yy,Time,administrative-geography,Geography,measure-of-wellbeing,MeasureOfWellbeing,wellbeing-estimate,Estimate,,,V4_1
7.25,,7.22,7.29,2012-13,2013,E12000007,London,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2013London,90.66777931
7.36,,7.33,7.4,2013-14,2014,E12000007,London,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2014London,94.4390514
7.5,,7.47,7.54,2015-16,2016,E12000007,London,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2016London,100
7.52,,7.48,7.55,2017-18,2018,E12000007,London,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2018London,103.8488874
7.54,,7.5,7.58,2016-17,2017,E12000007,London,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2017London,101.6335297
7.27,,7.22,7.32,2020-21,2021,E12000007,London,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2021London,#N/A
7.54,,7.5,7.58,2019-20,2020,E12000007,London,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2020London,#N/A
7.58,,7.54,7.62,2018-19,2019,E12000007,London,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2019London,109.4639976
7.25,,7.21,7.29,2011-12,2012,E12000007,London,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2012London,87.83733777
7.49,,7.45,7.52,2014-15,2015,E12000007,London,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2015London,96.20555267
7.73,,7.69,7.76,2014-15,2015,E12000008,South East,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2015South East,99.63128569
7.51,,7.48,7.55,2011-12,2012,E12000008,South East,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2012South East,92.54586873
7.54,,7.51,7.57,2012-13,2013,E12000008,South East,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2013South East,95.04063328
7.79,,7.76,7.83,2018-19,2019,E12000008,South East,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2019South East,103.3381107
7.4,,7.36,7.45,2020-21,2021,E12000008,South East,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2021South East,#N/A
7.76,,7.72,7.79,2016-17,2017,E12000008,South East,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2017South East,101.0256226
7.76,,7.72,7.8,2017-18,2018,E12000008,South East,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2018South East,101.6932632
7.6,,7.57,7.63,2013-14,2014,E12000008,South East,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2014South East,96.43564781
7.74,,7.71,7.77,2015-16,2016,E12000008,South East,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2016South East,100
7.7,,7.66,7.74,2019-20,2020,E12000008,South East,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2020South East,#N/A
7.69,,7.66,7.73,2018-19,2019,E12000002,North West,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2019North West,103.8795295
7.37,,7.34,7.41,2011-12,2012,E12000002,North West,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2012North West,92.31579328
7.56,,7.53,7.6,2014-15,2015,E12000002,North West,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2015North West,98.31399112
7.55,,7.51,7.58,2015-16,2016,E12000002,North West,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2016North West,100
7.59,,7.56,7.63,2016-17,2017,E12000002,North West,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2017North West,102.4661036
7.36,,7.31,7.41,2020-21,2021,E12000002,North West,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2021North West,#N/A
7.41,,7.37,7.44,2012-13,2013,E12000002,North West,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2013North West,94.00773883
7.68,,7.65,7.72,2017-18,2018,E12000002,North West,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2018North West,103.9163415
7.64,,7.61,7.68,2019-20,2020,E12000002,North West,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2020North West,#N/A
7.42,,7.38,7.45,2013-14,2014,E12000002,North West,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2014North West,95.91239221
7.39,,7.34,7.44,2012-13,2013,E12000001,North East,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2013North East,97.43918546
7.47,,7.42,7.52,2013-14,2014,E12000001,North East,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2014North East,98.3669435
7.57,,7.52,7.61,2014-15,2015,E12000001,North East,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2015North East,100.3696935
7.44,,7.39,7.48,2011-12,2012,E12000001,North East,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2012North East,97.91617948
7.61,,7.57,7.66,2016-17,2017,E12000001,North East,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2017North East,100.548881
7.66,,7.61,7.71,2017-18,2018,E12000001,North East,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2018North East,100.5897219
7.55,,7.5,7.6,2019-20,2020,E12000001,North East,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2020North East,#N/A
7.67,,7.62,7.72,2018-19,2019,E12000001,North East,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2019North East,101.4294979
7.36,,7.3,7.42,2020-21,2021,E12000001,North East,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2021North East,#N/A
7.62,,7.57,7.66,2015-16,2016,E12000001,North East,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2016North East,100
7.46,,7.42,7.5,2011-12,2012,E12000006,East of England,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2012East of England,89.62684293
7.75,,7.7,7.79,2018-19,2019,E12000006,East of England,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2019East of England,105.811028
7.67,,7.62,7.71,2015-16,2016,E12000006,East of England,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2016East of England,100
7.73,,7.68,7.77,2017-18,2018,E12000006,East of England,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2018East of England,106.139413
7.55,,7.5,7.59,2013-14,2014,E12000006,East of England,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2014East of England,95.26325257
7.66,,7.62,7.7,2014-15,2015,E12000006,East of England,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2015East of England,97.27127947
7.74,,7.7,7.79,2016-17,2017,E12000006,East of England,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2017East of England,104.1306106
7.71,,7.66,7.76,2019-20,2020,E12000006,East of England,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2020East of England,#N/A
7.47,,7.42,7.53,2020-21,2021,E12000006,East of England,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2021East of England,#N/A
7.49,,7.44,7.53,2012-13,2013,E12000006,East of England,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2013East of England,91.74636437
7.57,,7.53,7.61,2014-15,2015,E12000005,West Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2015West Midlands,97.34126922
7.62,,7.58,7.67,2015-16,2016,E12000005,West Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2016West Midlands,100
7.49,,7.45,7.53,2013-14,2014,E12000005,West Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2014West Midlands,94.47868117
7.7,,7.66,7.74,2018-19,2019,E12000005,West Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2019West Midlands,104.0008923
7.43,,7.38,7.47,2012-13,2013,E12000005,West Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2013West Midlands,91.93394265
7.67,,7.62,7.71,2017-18,2018,E12000005,West Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2018West Midlands,104.8510572
7.67,,7.63,7.71,2016-17,2017,E12000005,West Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2017West Midlands,102.6750623
7.67,,7.62,7.71,2019-20,2020,E12000005,West Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2020West Midlands,#N/A
7.28,,7.23,7.32,2011-12,2012,E12000005,West Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2012West Midlands,89.81325498
7.39,,7.33,7.46,2020-21,2021,E12000005,West Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2021West Midlands,#N/A
7.5,,7.45,7.54,2012-13,2013,E12000004,East Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2013East Midlands,94.62133579
7.44,,7.37,7.5,2020-21,2021,E12000004,East Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2021East Midlands,#N/A
7.74,,7.69,7.79,2015-16,2016,E12000004,East Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2016East Midlands,100
7.47,,7.42,7.52,2011-12,2012,E12000004,East Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2012East Midlands,92.47731833
7.74,,7.68,7.79,2019-20,2020,E12000004,East Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2020East Midlands,#N/A
7.76,,7.7,7.81,2018-19,2019,E12000004,East Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2019East Midlands,103.0383345
7.55,,7.5,7.59,2013-14,2014,E12000004,East Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2014East Midlands,96.76628732
7.64,,7.59,7.69,2014-15,2015,E12000004,East Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2015East Midlands,98.23048249
7.72,,7.67,7.77,2017-18,2018,E12000004,East Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2018East Midlands,102.6661966
7.73,,7.68,7.78,2016-17,2017,E12000004,East Midlands,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2017East Midlands,101.6479249
7.39,,7.35,7.43,2011-12,2012,E12000003,Yorkshire and The Humber,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2012Yorkshire and The Humber,95.05042665
7.65,,7.61,7.69,2015-16,2016,E12000003,Yorkshire and The Humber,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2016Yorkshire and The Humber,100
7.66,,7.62,7.71,2017-18,2018,E12000003,Yorkshire and The Humber,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2018Yorkshire and The Humber,103.549127
7.63,,7.59,7.68,2019-20,2020,E12000003,Yorkshire and The Humber,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2020Yorkshire and The Humber,#N/A
7.55,,7.51,7.59,2014-15,2015,E12000003,Yorkshire and The Humber,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2015Yorkshire and The Humber,99.59143584
7.7,,7.65,7.74,2018-19,2019,E12000003,Yorkshire and The Humber,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2019Yorkshire and The Humber,104.3749903
7.51,,7.47,7.55,2013-14,2014,E12000003,Yorkshire and The Humber,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2014Yorkshire and The Humber,97.07903924
7.46,,7.42,7.5,2012-13,2013,E12000003,Yorkshire and The Humber,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2013Yorkshire and The Humber,95.7898213
7.32,,7.26,7.37,2020-21,2021,E12000003,Yorkshire and The Humber,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2021Yorkshire and The Humber,#N/A
7.69,,7.65,7.74,2016-17,2017,E12000003,Yorkshire and The Humber,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2017Yorkshire and The Humber,102.3530609
7.73,,7.7,7.77,2015-16,2016,E12000009,South West,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2016South West,100
7.56,,7.52,7.6,2013-14,2014,E12000009,South West,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2014South West,97.19069589
7.76,,7.72,7.79,2017-18,2018,E12000009,South West,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2018South West,103.4505662
7.53,,7.48,7.57,2011-12,2012,E12000009,South West,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2012South West,92.54437642
7.55,,7.51,7.59,2012-13,2013,E12000009,South West,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2013South West,94.19086342
7.66,,7.62,7.7,2014-15,2015,E12000009,South West,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2015South West,98.50625666
7.5,,7.45,7.54,2020-21,2021,E12000009,South West,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2021South West,#N/A
7.75,,7.71,7.79,2019-20,2020,E12000009,South West,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2020South West,#N/A
7.77,,7.73,7.81,2018-19,2019,E12000009,South West,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2019South West,104.1109838
7.76,,7.72,7.79,2016-17,2017,E12000009,South West,life-satisfaction,Life Satisfaction,average-mean,Average (mean),,2017South West,102.5541811
