V4_3,Data Marking,Lower limit,Upper limit,yyyy-yy,Time,administrative-geography,Geography,measure-of-wellbeing,MeasureOfWellbeing,wellbeing-estimate,Estimate
7.51,,7.48,7.55,2011-12,2012,E12000007,London,worthwhile,Worthwhile,average-mean,Average (mean)
7.63,,7.6,7.67,2013-14,2014,E12000007,London,worthwhile,Worthwhile,average-mean,Average (mean)
7.55,,7.52,7.59,2012-13,2013,E12000007,London,worthwhile,Worthwhile,average-mean,Average (mean)
7.73,,7.69,7.76,2017-18,2018,E12000007,London,worthwhile,Worthwhile,average-mean,Average (mean)
7.77,,7.73,7.81,2018-19,2019,E12000007,London,worthwhile,Worthwhile,average-mean,Average (mean)
7.72,,7.69,7.75,2014-15,2015,E12000007,London,worthwhile,Worthwhile,average-mean,Average (mean)
7.6,,7.56,7.65,2020-21,2021,E12000007,London,worthwhile,Worthwhile,average-mean,Average (mean)
7.74,,7.71,7.78,2016-17,2017,E12000007,London,worthwhile,Worthwhile,average-mean,Average (mean)
7.72,,7.69,7.75,2015-16,2016,E12000007,London,worthwhile,Worthwhile,average-mean,Average (mean)
7.74,,7.7,7.78,2019-20,2020,E12000007,London,worthwhile,Worthwhile,average-mean,Average (mean)
7.91,,7.88,7.95,2016-17,2017,E12000008,South East,worthwhile,Worthwhile,average-mean,Average (mean)
7.81,,7.78,7.84,2013-14,2014,E12000008,South East,worthwhile,Worthwhile,average-mean,Average (mean)
7.94,,7.9,7.97,2018-19,2019,E12000008,South East,worthwhile,Worthwhile,average-mean,Average (mean)
7.9,,7.86,7.94,2019-20,2020,E12000008,South East,worthwhile,Worthwhile,average-mean,Average (mean)
7.91,,7.87,7.94,2014-15,2015,E12000008,South East,worthwhile,Worthwhile,average-mean,Average (mean)
7.88,,7.84,7.91,2015-16,2016,E12000008,South East,worthwhile,Worthwhile,average-mean,Average (mean)
7.76,,7.72,7.79,2011-12,2012,E12000008,South East,worthwhile,Worthwhile,average-mean,Average (mean)
7.77,,7.74,7.81,2012-13,2013,E12000008,South East,worthwhile,Worthwhile,average-mean,Average (mean)
7.95,,7.91,7.99,2017-18,2018,E12000008,South East,worthwhile,Worthwhile,average-mean,Average (mean)
7.71,,7.66,7.76,2020-21,2021,E12000008,South East,worthwhile,Worthwhile,average-mean,Average (mean)
7.82,,7.78,7.85,2014-15,2015,E12000002,North West,worthwhile,Worthwhile,average-mean,Average (mean)
7.7,,7.65,7.74,2020-21,2021,E12000002,North West,worthwhile,Worthwhile,average-mean,Average (mean)
7.67,,7.64,7.71,2012-13,2013,E12000002,North West,worthwhile,Worthwhile,average-mean,Average (mean)
7.83,,7.8,7.87,2016-17,2017,E12000002,North West,worthwhile,Worthwhile,average-mean,Average (mean)
7.89,,7.86,7.93,2018-19,2019,E12000002,North West,worthwhile,Worthwhile,average-mean,Average (mean)
7.91,,7.88,7.94,2017-18,2018,E12000002,North West,worthwhile,Worthwhile,average-mean,Average (mean)
7.85,,7.82,7.89,2019-20,2020,E12000002,North West,worthwhile,Worthwhile,average-mean,Average (mean)
7.7,,7.67,7.74,2013-14,2014,E12000002,North West,worthwhile,Worthwhile,average-mean,Average (mean)
7.66,,7.63,7.7,2011-12,2012,E12000002,North West,worthwhile,Worthwhile,average-mean,Average (mean)
7.8,,7.77,7.84,2015-16,2016,E12000002,North West,worthwhile,Worthwhile,average-mean,Average (mean)
7.64,,7.6,7.69,2011-12,2012,E12000001,North East,worthwhile,Worthwhile,average-mean,Average (mean)
7.89,,7.84,7.94,2018-19,2019,E12000001,North East,worthwhile,Worthwhile,average-mean,Average (mean)
7.74,,7.7,7.79,2014-15,2015,E12000001,North East,worthwhile,Worthwhile,average-mean,Average (mean)
7.88,,7.83,7.92,2017-18,2018,E12000001,North East,worthwhile,Worthwhile,average-mean,Average (mean)
7.72,,7.67,7.76,2013-14,2014,E12000001,North East,worthwhile,Worthwhile,average-mean,Average (mean)
7.79,,7.75,7.84,2015-16,2016,E12000001,North East,worthwhile,Worthwhile,average-mean,Average (mean)
7.79,,7.74,7.83,2016-17,2017,E12000001,North East,worthwhile,Worthwhile,average-mean,Average (mean)
7.68,,7.62,7.74,2020-21,2021,E12000001,North East,worthwhile,Worthwhile,average-mean,Average (mean)
7.78,,7.72,7.83,2019-20,2020,E12000001,North East,worthwhile,Worthwhile,average-mean,Average (mean)
7.64,,7.6,7.69,2012-13,2013,E12000001,North East,worthwhile,Worthwhile,average-mean,Average (mean)
7.91,,7.86,7.96,2019-20,2020,E12000006,East of England,worthwhile,Worthwhile,average-mean,Average (mean)
7.71,,7.67,7.76,2011-12,2012,E12000006,East of England,worthwhile,Worthwhile,average-mean,Average (mean)
7.79,,7.75,7.83,2013-14,2014,E12000006,East of England,worthwhile,Worthwhile,average-mean,Average (mean)
7.92,,7.88,7.97,2016-17,2017,E12000006,East of England,worthwhile,Worthwhile,average-mean,Average (mean)
7.91,,7.86,7.95,2017-18,2018,E12000006,East of England,worthwhile,Worthwhile,average-mean,Average (mean)
7.72,,7.68,7.77,2012-13,2013,E12000006,East of England,worthwhile,Worthwhile,average-mean,Average (mean)
7.75,,7.7,7.81,2020-21,2021,E12000006,East of England,worthwhile,Worthwhile,average-mean,Average (mean)
7.86,,7.82,7.9,2014-15,2015,E12000006,East of England,worthwhile,Worthwhile,average-mean,Average (mean)
7.92,,7.87,7.96,2018-19,2019,E12000006,East of England,worthwhile,Worthwhile,average-mean,Average (mean)
7.89,,7.85,7.94,2015-16,2016,E12000006,East of England,worthwhile,Worthwhile,average-mean,Average (mean)
7.53,,7.49,7.58,2011-12,2012,E12000005,West Midlands,worthwhile,Worthwhile,average-mean,Average (mean)
7.72,,7.67,7.76,2013-14,2014,E12000005,West Midlands,worthwhile,Worthwhile,average-mean,Average (mean)
